condition,condition_label,delta_cost,gap_mad,rank_span,margin_norm,raw_margin_rank,first_clamp,pre_final,final_weight,log_pre_over_upper,upper_clip
source,FFSP100 ckpt @ FFSP100,1.0,1.0,0.30434781312942505,1.0047378540039062,0.8184694647789001,0.8184694647789001,2.6892569065093994,2.5,0.10527952015399933,1.0
source,FFSP100 ckpt @ FFSP100,6.0,6.0,0.8260869979858398,1.3469128608703613,0.8231329321861267,0.8231329321861267,0.9964240193367004,0.9964240193367004,-1.3270963430404663,0.0
source,FFSP100 ckpt @ FFSP100,2.0,2.0,0.52173912525177,1.4666904211044312,0.7401877641677856,0.7401877641677856,1.4186931848526,1.4186931848526,-0.8173654675483704,0.0
source,FFSP100 ckpt @ FFSP100,1.0,1.0,0.3478260636329651,0.3312046527862549,1.650649070739746,1.650649070739746,4.745616436004639,2.5,0.9246673583984375,1.0
source,FFSP100 ckpt @ FFSP100,1.0,1.0,0.3913043439388275,0.36609983444213867,1.6011093854904175,1.6011093854904175,4.091723918914795,2.5,0.710780680179596,1.0
source,FFSP100 ckpt @ FFSP100,6.0,6.0,0.8695652484893799,0.35197991132736206,1.8471704721450806,1.8471704721450806,2.1242458820343018,2.1242458820343018,-0.23497730493545532,0.0
source,FFSP100 ckpt @ FFSP100,5.0,5.0,0.739130437374115,0.8877213597297668,1.0480483770370483,1.0480483770370483,1.417947769165039,1.417947769165039,-0.8181237578392029,0.0
source,FFSP100 ckpt @ FFSP100,4.0,4.0,0.5652174353599548,0.8772380352020264,1.0212525129318237,1.0212525129318237,1.8068312406539917,1.8068312406539917,-0.4684663414955139,0.0
source,FFSP100 ckpt @ FFSP100,3.0,3.0,0.17391306161880493,0.8134700655937195,0.7975748181343079,0.7975748181343079,4.586054801940918,2.5,0.8753254413604736,1.0
source,FFSP100 ckpt @ FFSP100,3.0,3.0,0.21739131212234497,0.15109679102897644,2.323996067047119,2.323996067047119,10.690381050109863,2.5,2.096313238143921,1.0
source,FFSP100 ckpt @ FFSP100,4.0,4.0,0.3478260636329651,0.03387374058365822,6.4831767082214355,2.5,7.187500476837158,2.5,1.5235620737075806,1.0
source,FFSP100 ckpt @ FFSP100,5.0,5.0,0.47826087474823,2.5225260257720947,0.5258606672286987,0.5258606672286987,1.0995268821716309,1.0995268821716309,-1.1850452423095703,0.0
source,FFSP100 ckpt @ FFSP100,3.0,3.0,0.260869562625885,1.0351322889328003,0.7704373598098755,0.7704373598098755,2.953343152999878,2.5,0.240420863032341,1.0
source,FFSP100 ckpt @ FFSP100,4.0,4.0,0.3913043737411499,1.0426347255706787,0.8544800281524658,0.8544800281524658,2.183670997619629,2.183670997619629,-0.19517257809638977,0.0
source,FFSP100 ckpt @ FFSP100,4.0,4.0,0.43478262424468994,0.6562580466270447,1.1560436487197876,1.1560436487197876,2.658900260925293,2.5,0.0889015942811966,1.0
source,FFSP100 ckpt @ FFSP100,3.0,3.0,0.30434781312942505,0.5834432244300842,1.134056806564331,1.134056806564331,3.726186752319336,2.5,0.5757719278335571,1.0
source,FFSP100 ckpt @ FFSP100,2.0,2.0,0.1304348111152649,1.181516170501709,0.5948835015296936,0.5948835015296936,4.56077241897583,2.5,0.8673501014709473,1.0
source,FFSP100 ckpt @ FFSP100,1.0,1.0,0.1304348111152649,2.488652229309082,0.3804672360420227,0.3804672360420227,2.916914939880371,2.5,0.22251516580581665,1.0
source,FFSP100 ckpt @ FFSP100,5.0,5.0,0.5652173757553101,0.8088632822036743,1.0722066164016724,1.0722066164016724,1.8969810009002686,1.8969810009002686,-0.3982228636741638,0.0
source,FFSP100 ckpt @ FFSP100,5.0,5.0,0.6086956262588501,1.4712365865707397,0.7571227550506592,0.7571227550506592,1.2438446283340454,1.2438446283340454,-1.0071218013763428,0.0
source,FFSP100 ckpt @ FFSP100,2.0,2.0,0.3913043439388275,1.6223334074020386,0.6553860902786255,0.6553860902786255,1.6748756170272827,1.6748756170272827,-0.5778741240501404,0.0
source,FFSP100 ckpt @ FFSP100,6.0,6.0,0.7391303777694702,1.6562070846557617,0.7209060788154602,0.7209060788154602,0.9753435850143433,0.9753435850143433,-1.3579456806182861,0.0
source,FFSP100 ckpt @ FFSP100,7.0,7.0,0.8695652484893799,4.144859313964844,0.42064186930656433,0.42064186930656433,0.48373812437057495,0.48373812437057495,-2.3696298599243164,0.0
source,FFSP100 ckpt @ FFSP100,5.0,5.0,0.6521738767623901,0.5872010588645935,1.3255056142807007,1.3255056142807007,2.032442092895508,2.032442092895508,-0.2987138330936432,0.0
