probe,seed_index,anchor,condition,raw_ess,ess,uniform_mixture,max_over_uniform
11,2,warm,anchor_is,0.49999999999999695,0.5000000000999971,0.0,2.0000009464709887
11,2,warm,all_pair_endpoint,0.9999941543395999,0.9999941543395999,0.0,1.000855001760299
11,2,warm,gap_endpoint,0.9523844386011763,0.9523844386011762,0.0,1.4925597023880959
11,2,warm,anchor_gap_endpoint,0.4761911276145734,0.4761911277098116,0.0,2.970653533131377
11,2,warm,anchor_hard_endpoint,0.49969345136461746,0.49969345146455607,0.0,2.1283311302734322
12,2,scratch,uniform,0.9999999999999999,0.9999999999999994,0.0,1.0000000000000002
12,2,scratch,anchor_is,0.49999999999999994,0.5000000000999999,0.0,1.9999999998000002
12,2,scratch,all_pair_endpoint,0.9999995049637487,0.9999995049637487,0.0,1.0001005126143345
12,2,scratch,gap_endpoint,0.9523849629390702,0.9523849629390702,0.0,1.4925395522981362
12,2,scratch,anchor_gap_endpoint,0.47619727968910724,0.47619727978434667,0.0,2.970297029405941
12,2,scratch,anchor_hard_endpoint,0.49436796777411196,0.49436796787298554,0.0,2.599394294010679
12,2,warm,uniform,0.9999999999999999,0.9999999999999994,0.0,1.0000000000000002
12,2,warm,anchor_is,0.4999999999999835,0.5000000000999837,0.0,2.000000917711707
12,2,warm,all_pair_endpoint,0.9999995049637487,0.9999995049637487,0.0,1.0001005126143345
12,2,warm,gap_endpoint,0.9523849629390702,0.9523849629390702,0.0,1.4925395522981362
12,2,warm,anchor_gap_endpoint,0.4761977189235541,0.47619771901879354,0.0,2.970334033791629
12,2,warm,anchor_hard_endpoint,0.49943701245899563,0.49943701255888306,0.0,2.1526794139514025
13,2,scratch,uniform,0.9999999999999999,0.9999999999999994,0.0,1.0000000000000002
13,2,scratch,anchor_is,0.49999999999999994,0.5000000000999999,0.0,1.9999999998000002
13,2,scratch,all_pair_endpoint,0.9999995049637487,0.9999995049637487,0.0,1.0001005126143345
13,2,scratch,gap_endpoint,0.9523854185795193,0.9523854185795193,0.0,1.492539552298136
13,2,scratch,anchor_gap_endpoint,0.4761972796891073,0.4761972797843469,0.0,2.9702970294059416
13,2,scratch,anchor_hard_endpoint,0.49202110067109106,0.4920211007694953,0.0,2.6182604311426063
13,2,warm,uniform,0.9999999999999999,0.9999999999999994,0.0,1.0000000000000002
13,2,warm,anchor_is,0.49999999999997047,0.5000000000999705,0.0,2.0000008557228224
13,2,warm,all_pair_endpoint,0.9999995049637487,0.9999995049637487,0.0,1.0001005126143345
13,2,warm,gap_endpoint,0.9523854185795193,0.9523854185795193,0.0,1.492539552298136
13,2,warm,anchor_gap_endpoint,0.47620092733347863,0.47620092742871883,0.0,2.9703325969649654
13,2,warm,anchor_hard_endpoint,0.4993009849724483,0.4993009850723085,0.0,2.184980044463149
14,2,scratch,uniform,0.9999999999999999,0.9999999999999994,0.0,1.0000000000000002
14,2,scratch,anchor_is,0.49999999999999994,0.5000000000999999,0.0,1.9999999998000002
14,2,scratch,all_pair_endpoint,0.9999990299385224,0.9999990299385219,0.0,1.00020104543627
14,2,scratch,gap_endpoint,0.9523852870295393,0.9523852870295393,0.0,1.4925417911701528
14,2,scratch,anchor_gap_endpoint,0.47619727968910724,0.47619727978434667,0.0,2.9702970294059408
14,2,scratch,anchor_hard_endpoint,0.4942679756622143,0.49426797576106785,0.0,2.6609293625363026
14,2,warm,uniform,0.9999999999999999,0.9999999999999994,0.0,1.0000000000000002
14,2,warm,anchor_is,0.4999999999999921,0.5000000000999926,0.0,2.0000009725480226
14,2,warm,all_pair_endpoint,0.9999990299385224,0.9999990299385219,0.0,1.00020104543627
14,2,warm,gap_endpoint,0.9523852870295393,0.9523852870295393,0.0,1.4925417911701528
14,2,warm,anchor_gap_endpoint,0.47619670191813007,0.47619670201336944,0.0,2.970368387820841
14,2,warm,anchor_hard_endpoint,0.499639629479696,0.499639629579624,0.0,2.1437204223415067
15,2,scratch,uniform,0.9999999999999999,0.9999999999999994,0.0,1.0000000000000002
15,2,scratch,anchor_is,0.49999999999999994,0.5000000000999999,0.0,1.9999999998000002
15,2,scratch,all_pair_endpoint,0.9999886838660429,0.9999886838660429,0.0,1.0011571162650312
15,2,scratch,gap_endpoint,0.9523898506397629,0.9523898506397629,0.0,1.4925731360836683
15,2,scratch,anchor_gap_endpoint,0.47619727968910724,0.4761972797843467,0.0,2.970297029405941
15,2,scratch,anchor_hard_endpoint,0.4922698256862861,0.49226982578474016,0.0,2.652631931851481
15,2,warm,uniform,0.9999999999999999,0.9999999999999994,0.0,1.0000000000000002
15,2,warm,anchor_is,0.4999999999999909,0.5000000000999908,0.0,2.000000936785217
15,2,warm,all_pair_endpoint,0.9999886838660429,0.9999886838660429,0.0,1.0011571162650312
15,2,warm,gap_endpoint,0.9523898506397629,0.9523898506397629,0.0,1.4925731360836683
15,2,warm,anchor_gap_endpoint,0.4761982034628423,0.476198203558082,0.0,2.9708688231137086
15,2,warm,anchor_hard_endpoint,0.49902423025650067,0.4990242303563059,0.0,2.234424477259179
