subset,anchor,target,condition,method,rho,nn_median,nn_mean,false_skip_mean,false_skip_q90,skipped_mae_mean,ef_distance_rank,ef_top1,ef_top5_overlap
seed1,warm,scratch,anchor_is,fisher_two_point,0.6232714327263693,0.008658030700683383,0.1179078802871703,0.033125,0.125,0.004659873835563483,0.9943840027161474,0.875,0.93
seed1,warm,warm,anchor_is,one_point,0.6441624131485221,0.0016396430969241038,0.10127531396865845,0.0,0.0,0.0009785377278327166,0.9943840027161474,0.875,0.93
seed1,warm,warm,anchor_is,euclidean_two_point,0.6485279072581632,0.0016396430969241038,0.08605891620635989,0.0,0.0,0.0009785377278327166,0.9943840027161474,0.875,0.93
seed1,warm,warm,anchor_is,fisher_two_point,0.6485010629841709,0.0015370967864991592,0.10126373256683352,0.0,0.0,0.0009612508459090163,0.9943840027161474,0.875,0.93
seed1,warm,scratch,all_pair_endpoint,one_point,0.3942708084580458,0.008205457687378015,0.05296886486053463,0.189375,0.25,0.06280743067646005,0.9999045159160911,1.0,0.9349999999999999
seed1,warm,scratch,all_pair_endpoint,euclidean_two_point,0.39402798757986146,0.008205457687378015,0.05303431537628169,0.064375,0.125,0.004628267114162321,0.9999045159160911,1.0,0.9349999999999999
seed1,warm,scratch,all_pair_endpoint,fisher_two_point,0.3945984278079058,0.008205457687378015,0.05296886486053463,0.064375,0.125,0.004802715447425732,0.9999045159160911,1.0,0.9349999999999999
seed1,warm,warm,all_pair_endpoint,one_point,0.3925847168394935,0.0015486171722414177,0.028060970954895036,0.125,0.125,0.027123447945117833,0.9999045159160911,1.0,0.9349999999999999
seed1,warm,warm,all_pair_endpoint,euclidean_two_point,0.39256597757472733,0.0015486171722414177,0.028069150619506877,0.0,0.0,0.0010762029991147942,0.9999045159160911,1.0,0.9349999999999999
seed1,warm,warm,all_pair_endpoint,fisher_two_point,0.3935028146887808,0.0015486171722414177,0.028060970954895036,0.0,0.0,0.0010334790120122494,0.9999045159160911,1.0,0.9349999999999999
seed1,warm,scratch,gap_endpoint,one_point,0.3945850363204088,0.008205457687378015,0.04797745719909672,0.064375,0.125,0.005193748127937259,0.9993232730816972,0.95,0.9850000000000001
seed1,warm,scratch,gap_endpoint,euclidean_two_point,0.39125321378972233,0.008205457687378015,0.047697289943695084,0.064375,0.125,0.005193748127937259,0.9993232730816972,0.95,0.9850000000000001
seed1,warm,scratch,gap_endpoint,fisher_two_point,0.39170028535271606,0.008205457687378015,0.04747663814544678,0.064375,0.125,0.005111753260612418,0.9993232730816972,0.95,0.9850000000000001
seed1,warm,warm,gap_endpoint,one_point,0.39053545067153905,0.0015486171722414177,0.025934224643707336,0.0,0.0,0.0010155840573309195,0.9993232730816972,0.95,0.9850000000000001
seed1,warm,warm,gap_endpoint,euclidean_two_point,0.38990460356572154,0.0015662033081054183,0.025880329513549814,0.0,0.0,0.0010155840573309195,0.9993232730816972,0.95,0.9850000000000001
seed1,warm,warm,gap_endpoint,fisher_two_point,0.3862964004861869,0.0013301193237307274,0.025778260955810574,0.0,0.0,0.0009879525136946054,0.9993232730816972,0.95,0.9850000000000001
seed1,warm,scratch,anchor_gap_endpoint,one_point,0.6295384181852957,0.007806019973755074,0.11718460584640493,0.033125,0.125,0.00508804065418232,0.9958806960359816,0.875,0.9400000000000001
seed1,warm,scratch,anchor_gap_endpoint,euclidean_two_point,0.6299443778198005,0.007806019973755074,0.0946933590888976,0.033125,0.125,0.00508804065418232,0.9958806960359816,0.875,0.9400000000000001
seed1,warm,scratch,anchor_gap_endpoint,fisher_two_point,0.633892439125336,0.008658030700683383,0.11773111488342274,0.158125,0.25,0.00723157097530352,0.9958806960359816,0.875,0.9400000000000001
seed1,warm,warm,anchor_gap_endpoint,one_point,0.6492239697681559,0.001703379058838106,0.10132912551879884,0.0,0.0,0.0007902877583503043,0.9958806960359816,0.875,0.9400000000000001
seed1,warm,warm,anchor_gap_endpoint,euclidean_two_point,0.6522670126927517,0.001703379058838106,0.08611272775650028,0.0,0.0,0.0007902877583503043,0.9958806960359816,0.875,0.9400000000000001
seed1,warm,warm,anchor_gap_endpoint,fisher_two_point,0.6524602117267225,0.0016396430969241038,0.10131754411697391,0.0,0.0,0.0007844112081527399,0.9958806960359816,0.875,0.9400000000000001
