length,steps,bank,candidate,probe,geometry,initial_cosine,max_sum_error,max_step_error,minimum_probability,stationary_fraction,endpoint_fr_distance
0.06,30,scratch,5,1,p_euclidean,0.9999999999999999,1.5265566588595902e-16,4.597524617955262e-13,0.00890855808490619,0.0,0.0599994284497373
0.06,30,scratch,5,1,fisher,0.9999999999999999,9.75781955236954e-19,4.597524617955262e-13,0.008946823262805506,0.0,0.05999261945738636
0.06,30,scratch,5,2,p_euclidean,1.0,2.220446049250313e-16,4.597524617955262e-13,0.00896776369535022,0.0,0.059999445230768264
0.06,30,scratch,5,2,fisher,1.0,1.0842021724855044e-18,4.597524617955262e-13,0.009000881041577303,0.0,0.05999253437742353
0.06,30,scratch,5,3,p_euclidean,1.0,1.3877787807814457e-16,4.597524617955262e-13,0.008952432315107442,0.0,0.05999951295210637
0.06,30,scratch,5,3,fisher,1.0,1.0842021724855044e-18,4.597524617955262e-13,0.008987127932575159,0.0,0.05999267686234294
0.06,30,scratch,5,4,p_euclidean,1.0,1.1102230246251565e-16,4.597524617955262e-13,0.0088826657966847,0.0,0.05999897819312043
0.06,30,scratch,5,4,fisher,1.0,9.75781955236954e-19,4.597524617955262e-13,0.008925511644908918,0.0,0.059992217769060996
0.06,30,scratch,5,5,p_euclidean,1.0,1.249000902703301e-16,4.597524617955262e-13,0.008963060344798528,0.0,0.05999938404218353
0.06,30,scratch,5,5,fisher,1.0,1.0842021724855044e-18,4.597524617955262e-13,0.008997439690232837,0.0,0.059992677879902256
0.06,30,scratch,5,6,p_euclidean,1.0,9.71445146547012e-17,4.597524617955262e-13,0.008899510719239667,0.0,0.05999892239963585
0.06,30,scratch,5,6,fisher,1.0,1.0842021724855044e-18,4.597524617955262e-13,0.008938057246635999,0.0,0.05999213210802974
0.06,30,scratch,5,7,p_euclidean,1.0,8.326672684688674e-17,4.597524617955262e-13,0.008884251816347584,0.0,0.05999914324428389
0.06,30,scratch,5,7,fisher,1.0,1.0842021724855044e-18,4.597524617955262e-13,0.008926522736954717,0.0,0.05999236415832229
0.06,30,scratch,5,8,p_euclidean,1.0,1.1796119636642288e-16,4.597524617955262e-13,0.00887560158795798,0.0,0.05999925172199422
0.06,30,scratch,5,8,fisher,1.0,1.0299920638612292e-18,4.597524617955262e-13,0.008916808591473561,0.0,0.059992659793836604
0.06,30,scratch,5,9,p_euclidean,1.0000000000000002,1.8041124150158794e-16,4.597524617955262e-13,0.008931948156238769,0.0,0.05999942631386037
0.06,30,scratch,5,9,fisher,1.0000000000000002,8.673617379884035e-19,4.28426391585468e-13,0.008970284894623141,0.0,0.05999245679663284
0.06,30,scratch,5,10,p_euclidean,1.0,9.71445146547012e-17,4.597524617955262e-13,0.008948547323643561,0.0,0.05999894728086534
0.06,30,scratch,5,10,fisher,1.0,8.673617379884035e-19,4.597524617955262e-13,0.008985240095190309,0.0,0.05999245607413738
0.06,30,scratch,5,11,p_euclidean,1.0000000000000002,1.249000902703301e-16,4.597524617955262e-13,0.008915236961580959,0.0,0.059999377451590674
0.06,30,scratch,5,11,fisher,1.0000000000000002,8.673617379884035e-19,2.377074231896259e-13,0.008954233922131153,0.0,0.05999267856263825
0.06,30,scratch,5,12,p_euclidean,1.0,1.249000902703301e-16,4.597524617955262e-13,0.008910702149352688,0.0,0.05999930943861905
0.06,30,scratch,5,12,fisher,1.0,8.673617379884035e-19,4.597524617955262e-13,0.008948871340676304,0.0,0.059992661728927074
0.06,30,scratch,5,13,p_euclidean,0.9999999999999999,1.457167719820518e-16,4.597524617955262e-13,0.008927118811742893,0.0,0.059999310498364836
0.06,30,scratch,5,13,fisher,0.9999999999999999,1.0299920638612292e-18,4.597524617955262e-13,0.008964909321817453,0.0,0.059992441687171126
0.06,30,scratch,5,14,p_euclidean,1.0,1.1796119636642288e-16,4.597524617955262e-13,0.008886131380566284,0.0,0.059999454598663175
0.06,30,scratch,5,14,fisher,1.0,7.589415207398531e-19,4.597524617955262e-13,0.008926099217225801,0.0,0.05999247171654569
0.06,30,scratch,5,15,p_euclidean,0.9999999999999998,1.249000902703301e-16,4.597524617955262e-13,0.00892887910237873,0.0,0.059999351346706725
0.06,30,scratch,5,15,fisher,0.9999999999999998,6.505213034913027e-19,4.597524617955262e-13,0.008965271307733835,0.0,0.05999252103709683
0.06,30,scratch,6,0,p_euclidean,1.0,2.4158453015843406e-13,4.28426391585468e-13,0.008749982752036537,0.0,0.05999194824860603
0.06,30,scratch,6,0,fisher,1.0,1.5543122344752192e-15,4.597524617955262e-13,0.008806056956849181,0.0,0.05999952156347627
0.06,30,scratch,6,1,p_euclidean,0.9999999999999998,3.410605131648481e-13,4.597524617955262e-13,0.008741866161561834,0.0,0.05999353477601191
