dataset,bank,candidate,probe,geometry,steps,initial_cosine,max_sum_error,max_step_error,minimum_probability,stationary_fraction,endpoint_fr_distance
matched,scratch,1,3,p_euclidean,60,1.0,2.0463630789890885e-12,2.8818196743871094e-12,0.00931719914387945,0.0,0.029999758153347177
matched,scratch,1,3,fisher,60,1.0,1.4210854715202004e-14,1.105462834986859e-12,0.009337196963492752,0.0,0.029999233289867953
matched,scratch,1,4,initial,0,1.0,8.881784197001252e-15,0.0,0.01,0.0,0.0
matched,scratch,1,4,p_euclidean,30,1.0,2.2737367544323206e-12,1.0597640386772467e-12,0.009301322923402319,0.0,0.029999831035363664
matched,scratch,1,4,fisher,30,1.0,1.4210854715202004e-14,1.160682227413501e-12,0.009319842681291577,0.0,0.02999932585288638
matched,scratch,1,4,p_euclidean,60,1.0,1.5916157281026244e-12,1.105462834986859e-12,0.009301212572776585,0.0,0.029999830851932106
matched,scratch,1,4,fisher,60,1.0,1.5987211554602254e-14,2.447250843813642e-12,0.009320050427175796,0.0,0.029999325351020668
matched,scratch,1,5,initial,0,1.0,1.1368683772161603e-13,0.0,0.01,0.0,0.0
matched,scratch,1,5,p_euclidean,30,1.0,2.2168933355715126e-12,1.160682227413501e-12,0.009245684127364623,0.0,0.0299997593311402
matched,scratch,1,5,fisher,30,1.0,1.2434497875801753e-14,1.160682227413501e-12,0.009266595838848066,0.0,0.029999251744797773
matched,scratch,1,5,p_euclidean,60,1.0,1.9326762412674725e-12,1.993641254686984e-12,0.009245551942204232,0.0,0.029999759064926204
matched,scratch,1,5,fisher,60,1.0,1.021405182655144e-14,1.5590724241135168e-12,0.009266823182272536,0.0,0.029999251218622822
matched,scratch,1,6,initial,0,1.0,2.2737367544323206e-13,0.0,0.01,0.0,0.0
matched,scratch,1,6,p_euclidean,30,1.0,1.7053025658242404e-12,7.165930175634383e-13,0.009484506420740682,0.0,0.029999706468704226
matched,scratch,1,6,fisher,30,1.0,1.2434497875801753e-14,6.156748288271841e-13,0.009494864053980066,0.0,0.02999919499194338
matched,scratch,1,6,p_euclidean,60,1.0,1.3642420526593924e-12,1.105462834986859e-12,0.009484442975331561,0.0,0.029999706313961424
matched,scratch,1,6,fisher,60,1.0,1.2434497875801753e-14,1.105462834986859e-12,0.00949497867041972,0.0,0.02999919423088834
matched,scratch,1,7,initial,0,0.9999999999999999,0.0,0.0,0.01,0.0,0.0
matched,scratch,1,7,p_euclidean,30,0.9999999999999999,1.5916157281026244e-12,7.165930175634383e-13,0.00924559316650352,0.0,0.029999694758211508
matched,scratch,1,7,fisher,30,0.9999999999999999,1.2434497875801753e-14,1.160682227413501e-12,0.009268228105781557,0.0,0.029999138947765337
matched,scratch,1,7,p_euclidean,60,0.9999999999999999,2.0463630789890885e-12,2.447250843813642e-12,0.009245428511526975,0.0,0.029999694448104033
matched,scratch,1,7,fisher,60,0.9999999999999999,1.2434497875801753e-14,2.447250843813642e-12,0.009268454331891206,0.0,0.029999138291935377
matched,scratch,1,8,initial,0,1.0,2.2737367544323206e-13,0.0,0.01,0.0,0.0
