problem,method,legacy_method,instance_id,instance_index,cost,num_starts,num_augment,checkpoint
ffsp50,USW,loss_only,ffsp50_00150,150,48.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00151,151,50.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00152,152,47.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00153,153,49.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00154,154,54.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00155,155,49.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00156,156,51.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00157,157,49.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00158,158,50.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00159,159,47.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00160,160,50.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00161,161,46.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00162,162,48.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00163,163,52.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00164,164,50.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00165,165,50.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
