epoch,step,test/max_reward,test/reward,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/bopo_loss,train/bopo_pair_count,train/loss,train/max_reward,train/reward,val/max_reward,val/reward
104,2099,,,,,,0.68905109167099,250.0,0.68905109167099,-51.55999755859375,-55.80750274658203,,
104,2099,,,,,,,,,,,-52.15999984741211,-55.46029281616211
,2100,,,316.3790674209595,,,,,,,,,
105,2119,,,,,,,,,,,-52.0620002746582,-55.4195442199707
,2120,,,314.71654200553894,,,,,,,,,
106,2139,,,,,,,,,,,-52.047000885009766,-55.41966247558594
,2140,,,314.85007643699646,,,,,,,,,
,2149,,,,,8571.610450744629,,,,,,,
,2149,,,,17.852783203125,,,,,,,,
107,2149,,,,,,0.6899604201316833,250.0,0.6899604201316833,-51.459999084472656,-55.6783332824707,,
107,2159,,,,,,,,,,,-52.040000915527344,-55.38225555419922
,2160,,,316.32489132881165,,,,,,,,,
108,2179,,,,,,,,,,,-52.0359992980957,-55.35967254638672
,2180,,,318.8699960708618,,,,,,,,,
,2199,,,,,8324.51868057251,,,,,,,
,2199,,,,39.716482162475586,,,,,,,,
109,2199,,,,,,0.6807223558425903,250.0,0.6807223558425903,-51.65999984741211,-55.885833740234375,,
109,2199,,,,,,,,,,,-52.06700134277344,-55.37175369262695
,2200,,,319.1176280975342,,,,,,,,,
110,2219,,,,,,,,,,,-52.0620002746582,-55.39141845703125
,2220,,,316.28290343284607,,,,,,,,,
111,2239,,,,,,,,,,,-51.97700119018555,-55.32954025268555
,2240,,,315.44739508628845,,,,,,,,,
,2249,,,,,8499.987125396729,,,,,,,
,2249,,,,21.207332611083984,,,,,,,,
112,2249,,,,,,0.6823270320892334,250.0,0.6823270320892334,-51.619998931884766,-55.788333892822266,,
112,2259,,,,,,,,,,,-52.04800033569336,-55.35224914550781
,2260,,,312.186235666275,,,,,,,,,
113,2279,,,,,,,,,,,-52.027000427246094,-55.39278793334961
,2280,,,219.72003555297852,,,,,,,,,
,2299,,,,,5660.055160522461,,,,,,,
,2299,,,,36.88311576843262,,,,,,,,
114,2299,,,,,,0.6851761937141418,250.0,0.6851761937141418,-51.939998626708984,-56.15250015258789,,
114,2299,,,,,,,,,,,-52.00699996948242,-55.39453887939453
,2300,,,202.58082962036133,,,,,,,,,
115,2319,,,,,,,,,,,-52.0260009765625,-55.401206970214844
,2320,,,200.844304561615,,,,,,,,,
116,2339,,,,,,,,,,,-51.9900016784668,-55.29804229736328
,2340,,,201.8890025615692,,,,,,,,,
,2349,,,,,5265.784025192261,,,,,,,
,2349,,,,25.4061222076416,,,,,,,,
117,2349,,,,,,0.6840838193893433,250.0,0.6840838193893433,-51.05999755859375,-55.28333282470703,,
117,2359,,,,,,,,,,,-52.02399826049805,-55.28154373168945
,2360,,,201.03164434432983,,,,,,,,,
118,2379,,,,,,,,,,,-51.97700119018555,-55.25288009643555
,2380,,,199.2117054462433,,,,,,,,,
,2399,,,,,5371.701240539551,,,,,,,
,2399,,,,43.531179428100586,,,,,,,,
119,2399,,,,,,0.6821384429931641,250.0,0.6821384429931641,-51.279998779296875,-55.48500061035156,,
119,2399,,,,,,,,,,,-52.04499816894531,-55.36674880981445
,2400,,,200.25059008598328,,,,,,,,,
120,2419,,,,,,,,,,,-52.04499816894531,-55.375789642333984
,2420,,,204.78586053848267,,,,,,,,,
121,2439,,,,,,,,,,,-52.0,-55.34232711791992
,2440,,,197.58424353599548,,,,,,,,,
,2449,,,,,5180.48882484436,,,,,,,
,2449,,,,20.3554630279541,,,,,,,,
122,2449,,,,,,0.6879456043243408,250.0,0.6879456043243408,-52.0,-56.31416702270508,,
122,2459,,,,,,,,,,,-52.040000915527344,-55.324161529541016
,2460,,,196.52147555351257,,,,,,,,,
123,2479,,,,,,,,,,,-52.058998107910156,-55.343292236328125
,2480,,,199.22700834274292,,,,,,,,,
,2499,,,,,5162.8992557525635,,,,,,,
,2499,,,,39.635658264160156,,,,,,,,
124,2499,,,,,,0.6875520944595337,250.0,0.6875520944595337,-50.939998626708984,-55.34749984741211,,
124,2499,,,,,,,,,,,-52.03499984741211,-55.32929229736328
,2500,,,201.04331731796265,,,,,,,,,
125,2519,,,,,,,,,,,-52.03200149536133,-55.345211029052734
,2520,,,202.6395344734192,,,,,,,,,
126,2539,,,,,,,,,,,-51.97700119018555,-55.33108139038086
,2540,,,199.27399969100952,,,,,,,,,
,2549,,,,,5566.859245300293,,,,,,,
,2549,,,,23.50902557373047,,,,,,,,
127,2549,,,,,,0.6813574433326721,250.0,0.6813574433326721,-51.439998626708984,-55.53666687011719,,
127,2559,,,,,,,,,,,-51.99300003051758,-55.32529830932617
,2560,,,199.99080610275269,,,,,,,,,
128,2579,,,,,,,,,,,-51.99399948120117,-55.34987258911133
,2580,,,203.2421269416809,,,,,,,,,
,2599,,,,,5521.539688110352,,,,,,,
,2599,,,,36.35859489440918,,,,,,,,
129,2599,,,,,,0.6905736923217773,250.0,0.6905736923217773,-51.52000045776367,-55.68000030517578,,
129,2599,,,,,,,,,,,-51.981998443603516,-55.31037902832031
,2600,,,202.0677478313446,,,,,,,,,
130,2619,,,,,,,,,,,-51.96699905395508,-55.31825256347656
,2620,,,200.2855384349823,,,,,,,,,
131,2639,,,,,,,,,,,-51.91999816894531,-55.3206672668457
,2640,,,201.3527853488922,,,,,,,,,
,2649,,,,,5557.696342468262,,,,,,,
,2649,,,,15.07258415222168,,,,,,,,
132,2649,,,,,,0.6923434138298035,250.0,0.6923434138298035,-51.63999938964844,-55.551666259765625,,
132,2659,,,,,,,,,,,-51.957000732421875,-55.289710998535156
,2660,,,200.6149308681488,,,,,,,,,
133,2679,,,,,,,,,,,-52.000999450683594,-55.287620544433594
,2680,,,202.1795585155487,,,,,,,,,
,2699,,,,,5282.994508743286,,,,,,,
,2699,,,,37.6741886138916,,,,,,,,
134,2699,,,,,,0.6882832646369934,250.0,0.6882832646369934,-51.619998931884766,-55.68583297729492,,
134,2699,,,,,,,,,,,-52.03300094604492,-55.384254455566406
,2700,,,203.2799563407898,,,,,,,,,
135,2719,,,,,,,,,,,-51.939998626708984,-55.259918212890625
,2720,,,203.04585671424866,,,,,,,,,
136,2739,,,,,,,,,,,-51.93600082397461,-55.305702209472656
,2740,,,204.19329833984375,,,,,,,,,
,2749,,,,,5815.2971267700195,,,,,,,
,2749,,,,19.4852352142334,,,,,,,,
137,2749,,,,,,0.6909120678901672,250.0,0.6909120678901672,-51.36000061035156,-55.36333465576172,,
137,2759,,,,,,,,,,,-51.95500183105469,-55.25737762451172
,2760,,,203.32568955421448,,,,,,,,,
138,2779,,,,,,,,,,,-51.90999984741211,-55.279964447021484
,2780,,,202.0404326915741,,,,,,,,,
,2799,,,,,5396.107912063599,,,,,,,
,2799,,,,37.221431732177734,,,,,,,,
139,2799,,,,,,0.6893235445022583,250.0,0.6893235445022583,-51.5,-55.893333435058594,,
139,2799,,,,,,,,,,,-51.99700164794922,-55.361751556396484
,2800,,,202.14185070991516,,,,,,,,,
140,2819,,,,,,,,,,,-51.97800064086914,-55.32562255859375
,2820,,,211.47839069366455,,,,,,,,,
141,2839,,,,,,,,,,,-51.97200012207031,-55.319000244140625
,2840,,,208.456862449646,,,,,,,,,
,2849,,,,,5587.729930877686,,,,,,,
,2849,,,,20.255327224731445,,,,,,,,
