epoch,lr-Adam,step,test/max_reward,test/reward,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/loss,train/max_reward,train/reward,val/max_reward,val/reward
,,3299,,,,,8185.342311859131,,,,,
,,3299,,,,39.87407684326172,,,,,,
103,,3299,,,,,,0.6831989288330078,-92.0,-95.60026550292969,,
103,,3327,,,,,,,,,-91.9530029296875,-95.2992172241211
,,3328,,,476.96615386009216,,,,,,,
,1e-05,3328,,,,,,,,,,
,,3349,,,,,8402.347564697266,,,,,
,,3349,,,,26.83854103088379,,,,,,
104,,3349,,,,,,0.6901813745498657,-91.6875,-95.70573425292969,,
104,,3359,,,,,,,,,-91.81700134277344,-95.2025146484375
,,3360,,,482.15226793289185,,,,,,,
,1e-05,3360,,,,,,,,,,
105,,3391,,,,,,,,,-91.85299682617188,-95.20372009277344
,,3392,,,565.1570389270782,,,,,,,
,1e-05,3392,,,,,,,,,,
,,3399,,,,,10132.151126861572,,,,,
,,3399,,,,50.98319053649902,,,,,,
106,,3399,,,,,,0.6836768388748169,-92.1875,-96.24870300292969,,
106,,3423,,,,,,,,,-91.8280029296875,-95.17925262451172
,,3424,,,474.9677131175995,,,,,,,
,1e-05,3424,,,,,,,,,,
,,3449,,,,,8327.147960662842,,,,,
,,3449,,,,26.30615234375,,,,,,
107,,3449,,,,,,0.6918157339096069,-91.9375,-96.00390625,,
107,,3455,,,,,,,,,-91.84600067138672,-95.1917495727539
,,3456,,,481.0349235534668,,,,,,,
,1e-05,3456,,,,,,,,,,
108,,3487,,,,,,,,,-91.81400299072266,-95.14600372314453
,,3488,,,471.6867468357086,,,,,,,
,1e-05,3488,,,,,,,,,,
,,3499,,,,,7819.793462753296,,,,,
,,3499,,,,39.82377052307129,,,,,,
109,,3499,,,,,,0.6885330677032471,-91.65625,-96.12109375,,
109,,3519,,,,,,,,,-91.80899810791016,-95.13007354736328
,,3520,,,490.7598485946655,,,,,,,
,1e-05,3520,,,,,,,,,,
,,3549,,,,,8188.82942199707,,,,,
,,3549,,,,25.542497634887695,,,,,,
110,,3549,,,,,,0.6876962780952454,-90.625,-94.60807800292969,,
110,,3551,,,,,,,,,-91.77400207519531,-95.13566589355469
,,3552,,,470.00882387161255,,,,,,,
