probe,seed_index,condition,raw_ess,ess,uniform_mixture,max_over_uniform
13,2,mid_s010,0.3509455566491231,0.4,0.09941452148814574,3.7238978780476772
13,2,mid_s020,0.6860109529457844,0.6860109529457842,0.0,2.0377592770705366
13,2,mid_s035,0.9278179896954417,0.9278179896954417,0.0,1.3528046629205133
13,2,best_s015,0.2673829319918854,0.4,0.26009842126884763,4.131554128422082
13,2,best_s025,0.4427929650361167,0.44279296503611654,0.0,3.1728180102351033
13,2,best_s040,0.6896536325890469,0.6896536325890469,0.0,2.018709790552626
13,2,tails_s010,0.3593226393320703,0.4,0.08279116132329507,3.635713158005967
13,2,tails_s020,0.7075676056518181,0.7075676056518181,0.0,1.9750735343081163
13,2,tails_s035,0.9852023822484567,0.9852023822484567,0.0,1.1636666708446626
14,2,uniform,1.0,0.9999999999999999,0.0,1.0000000000000002
14,2,mid_s010,0.35094555664912297,0.3999999999999998,0.09941452148814574,3.723897878047678
14,2,mid_s020,0.686010952945784,0.6860109529457843,0.0,2.037759277070536
14,2,mid_s035,0.9278179896954416,0.9278179896954422,0.0,1.3528046629205128
14,2,best_s015,0.2673829319918854,0.4,0.2600984212688477,4.131554128422081
14,2,best_s025,0.44279296503611676,0.4427929650361166,0.0,3.1728180102351025
14,2,best_s040,0.6896536325890472,0.6896536325890469,0.0,2.018709790552626
14,2,tails_s010,0.3593226393320703,0.4,0.08279116132329495,3.635713158005967
14,2,tails_s020,0.7075676056518183,0.7075676056518183,0.0,1.9750735343081158
14,2,tails_s035,0.9852023822484562,0.9852023822484562,0.0,1.1636666708446628
15,2,uniform,1.0,0.9999999999999999,0.0,1.0000000000000002
15,2,mid_s010,0.3509455566491229,0.4,0.09941452148814618,3.7238978780476764
15,2,mid_s020,0.6860109529457842,0.686010952945784,0.0,2.0377592770705366
15,2,mid_s035,0.9278179896954417,0.9278179896954417,0.0,1.3528046629205133
15,2,best_s015,0.26738293199188534,0.39999999999999986,0.2600984212688477,4.131554128422082
15,2,best_s025,0.44279296503611676,0.44279296503611676,0.0,3.172818010235102
15,2,best_s040,0.6896536325890469,0.6896536325890469,0.0,2.018709790552626
15,2,tails_s010,0.3593226393320702,0.4,0.08279116132329485,3.6357131580059674
15,2,tails_s020,0.7075676056518181,0.7075676056518181,0.0,1.9750735343081163
15,2,tails_s035,0.9852023822484565,0.9852023822484565,0.0,1.1636666708446626
