epoch,step,test/max_reward,test/reward,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/loss,train/max_reward,train/reward,val/max_reward,val/reward
107,2149,,,,,,-2.0535168647766113,-51.21999740600586,-55.21583557128906,,
107,2159,,,,,,,,,-51.97600173950195,-55.11146926879883
,2160,,,177.8154857158661,,,,,,,
108,2179,,,,,,,,,-51.92100143432617,-55.11220932006836
,2180,,,178.75711345672607,,,,,,,
,2199,,,,,4814.457893371582,,,,,
,2199,,,,25.54941177368164,,,,,,
109,2199,,,,,,-1.8376355171203613,-51.41999816894531,-55.35499954223633,,
109,2199,,,,,,,,,-52.007999420166016,-55.10733413696289
,2200,,,177.77769780158997,,,,,,,
110,2219,,,,,,,,,-51.941001892089844,-55.105918884277344
,2220,,,176.42582774162292,,,,,,,
111,2239,,,,,,,,,-51.92300033569336,-55.04275131225586
,2240,,,176.34476923942566,,,,,,,
,2249,,,,,5233.263969421387,,,,,
,2249,,,,12.741804122924805,,,,,,
112,2249,,,,,,-0.9661031365394592,-51.18000030517578,-55.23250198364258,,
112,2259,,,,,,,,,-51.88999938964844,-55.05195617675781
,2260,,,177.58897757530212,,,,,,,
113,2279,,,,,,,,,-51.87900161743164,-55.08058547973633
,2280,,,179.19593238830566,,,,,,,
,2299,,,,,4821.849822998047,,,,,
,2299,,,,25.18939971923828,,,,,,
114,2299,,,,,,-1.120121717453003,-51.439998626708984,-55.46916961669922,,
114,2299,,,,,,,,,-51.939998626708984,-55.140377044677734
,2300,,,180.53080677986145,,,,,,,
115,2319,,,,,,,,,-51.97700119018555,-55.107540130615234
,2320,,,178.9633605480194,,,,,,,
116,2339,,,,,,,,,-51.94200134277344,-55.09608459472656
,2340,,,181.25126123428345,,,,,,,
,2349,,,,,4769.73819732666,,,,,
,2349,,,,12.928485870361328,,,,,,
117,2349,,,,,,-1.6349458694458008,-50.84000015258789,-54.78499984741211,,
117,2359,,,,,,,,,-51.875999450683594,-55.09791564941406
,2360,,,181.14399576187134,,,,,,,
118,2379,,,,,,,,,-51.861000061035156,-55.06296157836914
,2380,,,176.40989232063293,,,,,,,
,2399,,,,,6385.277986526489,,,,,
