problem,problem_label,condition,condition_label,target_size,bin,delta_cost_min,delta_cost_max,delta_cost_mid,weight_mean,weight_q25,weight_q75,count
ffsp100,FFSP,search,FFSP100 ckpt @ FFSP100,100,14.0,3.0,3.0,3.0,2.1102643977622595,1.7307980954647064,2.5,490.0
ffsp100,FFSP,search,FFSP100 ckpt @ FFSP100,100,18.0,4.0,4.0,4.0,1.9080877847050968,1.3950600326061249,2.5,438.0
ffsp100,FFSP,search,FFSP100 ckpt @ FFSP100,100,20.0,5.0,5.0,5.0,1.7338693090664443,1.1858856678009033,2.5,279.0
ffsp100,FFSP,search,FFSP100 ckpt @ FFSP100,100,22.0,6.0,6.0,6.0,1.5881357466588255,0.983071357011795,2.378251791000366,183.0
ffsp100,FFSP,search,FFSP100 ckpt @ FFSP100,100,23.0,7.0,10.0,7.0,1.3180793788857186,0.8381152600049973,1.7026069164276123,208.0
ffsp100,FFSP,transfer,FFSP50 ckpt @ FFSP50,50,6.0,1.0,1.0,1.0,2.407527890832474,2.5,2.5,768.0
ffsp100,FFSP,transfer,FFSP50 ckpt @ FFSP50,50,12.0,2.0,2.0,2.0,2.1953336978084828,1.9197458922863007,2.5,756.0
ffsp100,FFSP,transfer,FFSP50 ckpt @ FFSP50,50,16.0,3.0,3.0,3.0,1.9502139737990898,1.4134892225265503,2.5,508.0
ffsp100,FFSP,transfer,FFSP50 ckpt @ FFSP50,50,19.0,4.0,4.0,4.0,1.7774668205529451,1.2080581188201904,2.5,352.0
ffsp100,FFSP,transfer,FFSP50 ckpt @ FFSP50,50,21.0,5.0,5.0,5.0,1.7432562625926473,1.098202258348465,2.5,230.0
ffsp100,FFSP,transfer,FFSP50 ckpt @ FFSP50,50,22.0,6.0,6.0,6.0,1.4662551893532731,1.0254624485969543,1.8498202562332153,131.0
ffsp100,FFSP,transfer,FFSP50 ckpt @ FFSP50,50,23.0,7.0,11.0,7.0,1.440690265185591,0.8787193894386292,2.0296326875686646,138.0
jssp10x10,JSSP,search,JSSP10x10 ckpt @ 10x10,10,0.0,6.103515625e-05,1.0,0.0001220703125,0.1300271286926025,0.10000000149011612,0.1456323266029358,916.0
jssp10x10,JSSP,search,JSSP10x10 ckpt @ 10x10,10,1.0,1.00006103515625,2.9998779296875,2.0,0.26830484872484406,0.20893428474664688,0.31874164938926697,719.0
jssp10x10,JSSP,search,JSSP10x10 ckpt @ 10x10,10,2.0,2.99993896484375,3.9998779296875,3.0,0.43017243760303386,0.40937043726444244,0.494724839925766,927.0
jssp10x10,JSSP,search,JSSP10x10 ckpt @ 10x10,10,3.0,3.99993896484375,4.99993896484375,4.0,0.6104601066580533,0.5490922331809998,0.6978564262390137,1243.0
jssp10x10,JSSP,search,JSSP10x10 ckpt @ 10x10,10,4.0,5.0,6.99981689453125,5.99993896484375,0.6985390932977071,0.4895040988922119,0.837828055024147,926.0
jssp10x10,JSSP,search,JSSP10x10 ckpt @ 10x10,10,5.0,6.9998779296875,7.0,6.99993896484375,1.1325663997088107,1.0286504030227661,1.3166855573654175,957.0
jssp10x10,JSSP,search,JSSP10x10 ckpt @ 10x10,10,6.0,7.00006103515625,8.0,7.99993896484375,1.1120351249338092,0.9233444184064865,1.3620550632476807,1064.0
jssp10x10,JSSP,search,JSSP10x10 ckpt @ 10x10,10,7.0,8.00006103515625,9.99993896484375,8.9998779296875,1.1608930900119818,0.7772038131952286,1.4543097019195557,1040.0
jssp10x10,JSSP,search,JSSP10x10 ckpt @ 10x10,10,8.0,10.0,11.00018310546875,10.99993896484375,1.386206872540998,0.898922860622406,1.8211133480072021,981.0
jssp10x10,JSSP,search,JSSP10x10 ckpt @ 10x10,10,9.0,11.000244140625,12.99993896484375,12.0,1.728081431061315,1.0551556944847107,2.3405568599700928,939.0
jssp10x10,JSSP,search,JSSP10x10 ckpt @ 10x10,10,10.0,13.0,14.9998779296875,13.99993896484375,1.8452923502370697,1.2439273595809937,2.142103672027588,787.0
jssp10x10,JSSP,search,JSSP10x10 ckpt @ 10x10,10,11.0,14.99993896484375,16.9998779296875,15.00006103515625,2.150653664794882,1.405253529548645,3.0,1153.0
jssp10x10,JSSP,search,JSSP10x10 ckpt @ 10x10,10,12.0,16.99993896484375,18.9998779296875,17.99993896484375,2.2687642620957416,1.624364972114563,2.7809667587280273,920.0
jssp10x10,JSSP,search,JSSP10x10 ckpt @ 10x10,10,13.0,18.99993896484375,21.0,19.99993896484375,2.353632515802949,1.821642518043518,2.906129539012909,978.0
jssp10x10,JSSP,search,JSSP10x10 ckpt @ 10x10,10,14.0,21.00006103515625,23.9998779296875,22.0001220703125,2.512700091644219,2.054656982421875,3.0,1007.0
jssp10x10,JSSP,search,JSSP10x10 ckpt @ 10x10,10,15.0,23.99993896484375,26.999755859375,25.0,2.779107172289528,2.512497663497925,3.0,1039.0
jssp10x10,JSSP,search,JSSP10x10 ckpt @ 10x10,10,16.0,26.9998779296875,29.0,27.999969482421875,2.8744696695237906,2.7724416851997375,3.0,934.0
jssp10x10,JSSP,search,JSSP10x10 ckpt @ 10x10,10,17.0,29.00006103515625,32.0,30.9998779296875,2.976555224157806,3.0,3.0,936.0
jssp10x10,JSSP,search,JSSP10x10 ckpt @ 10x10,10,18.0,32.00006103515625,35.99993896484375,34.0,2.996036191209189,3.0,3.0,1007.0
jssp10x10,JSSP,search,JSSP10x10 ckpt @ 10x10,10,19.0,36.0,40.0,38.0,3.0,3.0,3.0,1013.0
jssp10x10,JSSP,search,JSSP10x10 ckpt @ 10x10,10,20.0,40.00006103515625,44.99993896484375,42.0,3.0,3.0,3.0,957.0
jssp10x10,JSSP,search,JSSP10x10 ckpt @ 10x10,10,21.0,45.0,50.99993896484375,47.99993896484375,3.0,3.0,3.0,995.0
jssp10x10,JSSP,search,JSSP10x10 ckpt @ 10x10,10,22.0,51.0,60.99993896484375,55.00006103515625,3.0,3.0,3.0,967.0
jssp10x10,JSSP,search,JSSP10x10 ckpt @ 10x10,10,23.0,61.0,118.99993896484375,70.00006103515625,3.0,3.0,3.0,989.0
jssp10x10,JSSP,transfer,JSSP15x15 ckpt @ 15x15,15,0.0,0.0001220703125,3.0,1.9998779296875,0.1593494434078815,0.131965771317482,0.17890318483114243,991.0
jssp10x10,JSSP,transfer,JSSP15x15 ckpt @ 15x15,15,1.0,3.0001220703125,6.0,4.9998779296875,0.2860399650035785,0.2549600601196289,0.320270299911499,991.0
jssp10x10,JSSP,transfer,JSSP15x15 ckpt @ 15x15,15,2.0,6.0001220703125,9.999755859375,8.0,0.43397834525575646,0.39200496673583984,0.47376298904418945,1051.0
jssp10x10,JSSP,transfer,JSSP15x15 ckpt @ 15x15,15,3.0,9.9998779296875,12.9996337890625,11.0,0.5917202320923272,0.5461007952690125,0.6380797028541565,1018.0
jssp10x10,JSSP,transfer,JSSP15x15 ckpt @ 15x15,15,4.0,12.999755859375,15.999755859375,14.0,0.7486287216015021,0.6907103657722473,0.79554682970047,962.0
jssp10x10,JSSP,transfer,JSSP15x15 ckpt @ 15x15,15,5.0,15.9998779296875,18.9998779296875,17.0,0.9161378679709444,0.8419153839349747,0.9822845458984375,978.0
jssp10x10,JSSP,transfer,JSSP15x15 ckpt @ 15x15,15,6.0,19.0,22.0001220703125,20.999755859375,1.1124705550069047,1.0168192684650421,1.1947880983352661,1078.0
